Tier,#,Business,Category,Address,Phone,Page URL,Social to tag,Status,Date contacted,Deal posted?,Reshared?,Follow-up date,Notes
1,1,South Side Coffee Co.,Coffee,"105 S H St, Lompoc, CA 93436",(805) 737-3730,https://www.lompoclocals.com/en/biz/south-side-coffee-co,IG @southsidecoffeeco_lompoc,Not contacted,,No,No,,
1,2,Old Town Kitchen & Bar,Restaurant & Bar,"319 E Ocean Ave, Lompoc, CA 93436",(805) 741-7631,https://www.lompoclocals.com/en/biz/old-town-kitchen-bar,IG @oldtownkitchen_805,Not contacted,,No,No,,
1,3,Lompoc Barber Lounge,Barber,"137 N H St, Lompoc, CA 93436",(805) 291-3600,https://www.lompoclocals.com/en/biz/lompoc-barber-lounge,IG @lompocbarberlounge,Not contacted,,No,No,,
1,4,Hoptions Taproom & Eatery,Taproom,"234 N H St, Lompoc, CA 93436",(805) 735-2099,https://www.lompoclocals.com/en/biz/hoptions-taproom,,Not contacted,,No,No,,
1,5,Hanger 7 Social House,Bar,"107 W Ocean Ave, Lompoc, CA 93436",(805) 735-7700,https://www.lompoclocals.com/en/biz/hanger-7-social-house,,Not contacted,,No,No,,
1,6,Pour Decisions Cocktail Bar,Cocktail Bar,"724 E Ocean Ave, Lompoc, CA 93436",(805) 972-3107,https://www.lompoclocals.com/en/biz/pour-decisions-cocktail-bar,,Not contacted,,No,No,,
1,7,Valle Eatery & Bar,Restaurant & Bar,"1201 N H St, Lompoc, CA 93436",(805) 735-1880,https://www.lompoclocals.com/en/biz/valle-eatery-bar,,Not contacted,,No,No,,
1,8,Wicked Shamrock,Irish Pub,"143 N H St, Lompoc, CA 93436",(805) 741-7145,https://www.lompoclocals.com/en/biz/wicked-shamrock,,Not contacted,,No,No,,
2,9,Chow-Ya,Restaurant,"713 E Ocean Ave, Lompoc, CA 93436",(805) 741-7895,https://www.lompoclocals.com/en/biz/chow-ya,,Not contacted,,No,No,,
2,10,O'Cairns Bistro,Bistro,"940 E Ocean Ave, Lompoc, CA 93436",(805) 735-7731,https://www.lompoclocals.com/en/biz/o-cairns-bistro,,Not contacted,,No,No,,
2,11,Johnny's Bar & Grill,Bar & Grill,"321 W Ocean Ave, Lompoc, CA 93436",(805) 736-8978,https://www.lompoclocals.com/en/biz/johnny-s-bar-grill,,Not contacted,,No,No,,
2,12,Capulin Eats & Provisions,Restaurant,"300 N 12th St Ste 1E, Lompoc, CA 93436",(805) 743-4151,https://www.lompoclocals.com/en/biz/capul-n-eats-provisions,,Not contacted,,No,No,,Dupe listing exists - flag to delete
2,13,Wild West Pizza & Grill,Pizza,"1137 N H St, Lompoc, CA 93436",(805) 736-9000,https://www.lompoclocals.com/en/biz/wild-west-pizza-grill,,Not contacted,,No,No,,
2,14,Cajun Kitchen Cafe,Cafe,"1508 N H St, Lompoc, CA 93436",(805) 735-7877,https://www.lompoclocals.com/en/biz/cajun-kitchen-cafe,,Not contacted,,No,No,,
2,15,Floriano's Mexican Food,Mexican,"1140 N H St, Lompoc, CA 93436",(805) 737-9396,https://www.lompoclocals.com/en/biz/florianos-mexican-food,,Not contacted,,No,No,,
2,16,La Roca Bakery,Bakery,"425 N H St, Lompoc, CA 93436",(805) 736-3603,https://www.lompoclocals.com/en/biz/la-roca-bakery,,Not contacted,,No,No,,
2,17,Dogfather's Hot Dogs,Hot Dogs,"1701 E Ocean Ave, Lompoc, CA 93436",(805) 291-2952,https://www.lompoclocals.com/en/biz/dogfather-s-hot-dogs,,Not contacted,,No,No,,
3,18,Altered Aesthetics Beauty Lounge,Beauty,"1005 E Ocean Ave, Lompoc, CA 93436",(805) 291-9339,https://www.lompoclocals.com/en/biz/altered-aesthetics-beauty-lounge,,Not contacted,,No,No,,
3,19,Salon Blush,Salon,"1204 W Ocean Ave, Lompoc, CA 93436",(805) 737-0000,https://www.lompoclocals.com/en/biz/salon-blush,,Not contacted,,No,No,,
3,20,Awaken Cardio Kickboxing,Fitness,"113 W Ocean Ave, Lompoc, CA 93436",(805) 865-7349,https://www.lompoclocals.com/en/biz/awaken-cardio-kickboxing,,Not contacted,,No,No,,
3,21,JoshFit Personal Fitness,Fitness,"219 W Ocean Ave, Lompoc, CA 93436",(805) 738-3481,https://www.lompoclocals.com/en/biz/joshfit-personal-fitness,,Not contacted,,No,No,,
3,22,Pure Radiance Spa,Spa,"123 W Ocean Ave, Lompoc, CA 93436",(805) 737-8800,https://www.lompoclocals.com/en/biz/pure-radiance-spa-lompoc,,Not contacted,,No,No,,
3,23,Ramiro's Barbershop,Barber,"734 N H St, Lompoc, CA 93436",(805) 734-8810,https://www.lompoclocals.com/en/biz/ramiro-s-barbershop,,Not contacted,,No,No,,
3,24,Ampelos Cellars,Winery,"312 N 9th St, Lompoc, CA 93436",(805) 736-9957,https://www.lompoclocals.com/en/biz/ampelos-cellars,,Not contacted,,No,No,,Wine Ghetto
3,25,Tyler Winery,Winery,"343 N 9th St, Lompoc, CA 93436",(805) 693-9675,https://www.lompoclocals.com/en/biz/tyler-winery,,Not contacted,,No,No,,Wine Ghetto
